DesignName,ParticipantID,TrialID,Block1,VV,OC,visualSearchTime,ErrorCount
Preattention-Experiment,2,55,1,OrientationSize,Medium,2048,0
Preattention-Experiment,2,56,1,OrientationSize,Large,2880,0
Preattention-Experiment,2,57,1,OrientationSize,Large,2650,0
Preattention-Experiment,2,58,1,OrientationSize,Small,1199,0
Preattention-Experiment,2,59,1,OrientationSize,Medium,2200,0
Preattention-Experiment,2,60,1,OrientationSize,Medium,1704,0
Preattention-Experiment,2,61,1,OrientationSize,Small,1199,0
Preattention-Experiment,2,62,1,OrientationSize,Large,3904,0
Preattention-Experiment,2,63,1,OrientationSize,Large,3727,0
Preattention-Experiment,2,64,1,OrientationSize,Large,2706,0
Preattention-Experiment,2,65,1,OrientationSize,Medium,2080,0
Preattention-Experiment,2,66,1,OrientationSize,Small,5439,2
Preattention-Experiment,2,67,1,OrientationSize,Small,3927,0
Preattention-Experiment,2,68,1,OrientationSize,Medium,4633,0
Preattention-Experiment,2,69,1,OrientationSize,Large,3289,0
Preattention-Experiment,2,70,1,OrientationSize,Medium,5440,0
Preattention-Experiment,2,71,1,OrientationSize,Small,1520,0
Preattention-Experiment,2,72,1,OrientationSize,Small,2945,1
Preattention-Experiment,2,73,2,Size,Medium,1289,0
Preattention-Experiment,2,74,2,Size,Large,624,0
Preattention-Experiment,2,75,2,Size,Large,793,0
Preattention-Experiment,2,76,2,Size,Small,583,0
Preattention-Experiment,2,77,2,Size,Medium,617,0
Preattention-Experiment,2,78,2,Size,Medium,617,0
Preattention-Experiment,2,79,2,Size,Small,655,0
Preattention-Experiment,2,80,2,Size,Large,704,0
Preattention-Experiment,2,81,2,Size,Large,560,0
Preattention-Experiment,2,82,2,Size,Large,624,0
Preattention-Experiment,2,83,2,Size,Medium,615,0
Preattention-Experiment,2,84,2,Size,Small,784,0
Preattention-Experiment,2,85,2,Size,Small,664,0
Preattention-Experiment,2,86,2,Size,Medium,944,0
Preattention-Experiment,2,87,2,Size,Large,849,0
Preattention-Experiment,2,88,2,Size,Medium,921,0
Preattention-Experiment,2,89,2,Size,Small,638,0
Preattention-Experiment,2,90,2,Size,Small,649,0
Preattention-Experiment,2,91,3,Orientation,Medium,1506,0
Preattention-Experiment,2,92,3,Orientation,Large,672,0
Preattention-Experiment,2,93,3,Orientation,Large,2305,0
Preattention-Experiment,2,94,3,Orientation,Small,759,0
Preattention-Experiment,2,95,3,Orientation,Medium,647,0
Preattention-Experiment,2,96,3,Orientation,Medium,799,0
Preattention-Experiment,2,97,3,Orientation,Small,744,0
Preattention-Experiment,2,98,3,Orientation,Large,1297,0
Preattention-Experiment,2,99,3,Orientation,Large,800,0
Preattention-Experiment,2,100,3,Orientation,Large,960,0
Preattention-Experiment,2,101,3,Orientation,Medium,1313,0
Preattention-Experiment,2,102,3,Orientation,Small,583,0
Preattention-Experiment,2,103,3,Orientation,Small,712,0
Preattention-Experiment,2,104,3,Orientation,Medium,576,0
Preattention-Experiment,2,105,3,Orientation,Large,767,0
Preattention-Experiment,2,106,3,Orientation,Medium,600,0
Preattention-Experiment,2,107,3,Orientation,Small,592,0
Preattention-Experiment,2,108,3,Orientation,Small,591,0
